Article Title,Author Keywords,Publication Year
Hormone-related events and periodontitis in women,abortion; breastfeeding; contraceptive; hormone replacement therapy; Korea National Health and Nutrition Examination Survey (KNHANES); lactation; menarche; menopause; menstruations; periodontal disease; pregnancy; risk factors,2020
Relationship between herpesviruses and periodontal disease progression,cytomegalovirus; disease progression; Epstein-Barr virus infections; periodontitis,2020
Clinical outcomes of the entire papilla preservation technique with and without biomaterials in the treatment of isolated intrabony defects: A randomized controlled clinical trial,clinical trial; enamel matrix proteins; guided tissue regeneration; microsurgery; periodontal; periodontal atrophy; periodontitis; surgical flaps; treatment outcome,2020
Clinical and radiographic changes at tissue level implants with either a machined or a modified transmucosal neck surface: A 3-year multicentre randomized controlled proof-of-concept study,dental implant; implant surface modification; soft tissue integration; titanium; transmucosal,2020
Influence of keratinized mucosa on the surgical therapeutical outcomes of peri-implantitis,dental implants; disease management; keratinized mucosa; peri-implantitis,2020
Tooth loss in aggressive periodontitis: Results 25 years after active periodontal therapy in a private practice,aggressive periodontitis; compliance; periodontal treatment; supportive periodontal treatment; tooth loss,2020
"Self-reported halitosis in a sample of Brazilians: Prevalence, associated risk predictors and accuracy estimates with clinical diagnosis",epidemiology; halitosis; prevalence; risk factors; self-report; sensitivity and specificity,2020
Reporting and handling of incomplete outcome data in implant dentistry: A survey of randomized clinical trials,bias; methodological study; methods; randomized controlled trial; systematic reviews,2020
The two-dimensional size of peri-implant soft tissue in the anterior maxilla and some relevance: A 1-to 7-year cross-sectional study,dental implants; digital measurement; oral scanner; soft and bone tissue,2020
Adherence to long-term supportive periodontal therapy in groups with different periodontal risk profiles,compliance; long-term supportive periodontal therapy; patient adherence; periodontal maintenance; periodontal risk profile,2020
Association of prosthetic features and peri-implantitis: A cross-sectional study,emergence angle; emergence profile; Peri-implantitis; restoration contour; splinted,2020
The online attention to research in periodontology: An Altmetric study on the most discussed articles on the web,Altmetric; bibliometrics; citation analysis; dimensions; periodontology; scopus,2020
Gingival tissue human beta-defensin levels in relation to infection and inflammation,antimicrobial peptides; gingipain; hBD-2; hBD-3; inflammatory cytokines; periodontitis; Porphyromonas gingivalis,2020
Coronally advanced flap and composite restoration of the enamel with or without connective tissue graft for the treatment of single maxillary gingival recession with non-carious cervical lesion. A randomized controlled clinical trial,aesthetics; connective tissue graft; coronally advanced flap; gingival recession; multiple gingival recessions; root coverage,2020
Clinical benefits of ridge preservation for implant placement compared to natural healing in maxillary teeth: A retrospective study,bone augmentation; dental implant; extraction socket; ridge preservation; sinus augmentation,2020
Accuracy of single molecular biomarkers in saliva for the diagnosis of periodontitis: A systematic review and meta-analysis,diagnostic accuracy; meta-analysis; molecular biomarkers; periodontitis; predictive values; prevalence; saliva; sensitivity; specificity; systematic review,2020
Augmentation of keratinized tissue at tooth and implant sites by using autogenous grafts and collagen-based soft-tissue substitutes,autografts; dental implant; keratinized tissue; tissue scaffolds; tooth,2020
"Effect of alveolar ridge preservation interventions following tooth extraction: A systematic review and meta-analysis (vol 21, pg 195, 2019)",,2020
Late implant placement following ridge preservation versus early implant placement: A pilot randomized clinical trial for periodontally compromised non-molar extraction sites,aesthetics; alveolar ridge preservation; dental implant; patient-reported outcome; soft tissue,2020
Diagnostic sensitivity and specificity of host-derived salivary biomarkers in periodontal disease amongst adults: Systematic review,biological markers; diagnosis; periodontal diseases; review; saliva; sensitivity and specificity,2020
Influence of smoking on periodontal healing one year after active treatment,healing; periodontal disease; periodontal treatment; smoking,2020
Periodontal pathogens and their role in cardiovascular outcome,adverse cardiovascular events; cardiovascular disease; E; corrodens; longitudinal cohort study; microbiology; severe periodontitis,2020
Akkermansia muciniphila reduces Porphyromonas gingivalis-induced inflammation and periodontal bone destruction,infection; inflammation; periodontitis; probiotic,2020
The effects of bioavailable gluconate chelated stannous fluoride dentifrice on gingival bleeding: Meta-analysis of eighteen randomized controlled trials,bioavailability; dentifrices; gingivitis; meta-analysis; stannous fluoride,2019
Periodontal regeneration using bone morphogenetic protein 2 incorporated biomimetic calcium phosphate in conjunction with barrier membrane: A pre-clinical study in dogs,bone morphogenetic protein 2; bone substitute; periodontal tissue regeneration; supra-alveolar defect; tissue engineering,2019
Familial tendency as a determinant of tooth loss during long-term periodontal therapy,dental scaling; environmental impacts; family characteristics; genetics; periodontal disease; prognostic factors; tooth loss; treatment outcome,2020
Association between periodontitis and the risk of inadequate disease control in patients with rheumatoid arthritis under biological treatment,biological therapy; inadequate disease control; periodontitis; rheumatoid arthritis; risk,2020
Association between periodontal inflammation and hypertension using periodontal inflamed surface area and bleeding on probing,hypertension; inflammation; oral health; periodontal diseases; periodontitis,2020
Effects of non-surgical periodontal therapy on inflammatory markers of psoriasis: A randomized controlled trial,immunoglobulin A; interleukin-2; interleukin-6; periodontal diseases; psoriasis vulgaris,2020
Is periodontitis a risk indicator for gastrointestinal cancers? A meta-analysis of cohort studies,gastrointestinal cancer; meta-analysis; pancreatic cancer; periodontitis,2020
Oral hygiene revisited. The clinical effect of a prolonged oral hygiene phase prior to periodontal therapy in periodontitis patients. A randomized clinical study,Oral hygiene; periodontal therapy planning,2020
Ability of S100 proteins and matrix metalloproteinase-9 to identify periodontitis in a ligature-induced periodontitis dog model,biomarkers; matrix metalloproteinase-9; periodontitis; saliva,2020
A dual-strain Lactobacilli reuteri probiotic improves the treatment of residual pockets: A randomized controlled clinical trial,Lactobacilli reuteri; periodontitis; probiotics; re-instrumentation; residual pockets,2020
Clinical and tomographic comparison of dental implants placed by guided virtual surgery versus conventional technique: A split-mouth randomized clinical trial,computer-assisted surgery; cone beam computed tomography; dental implants; oral surgery; single-tooth dental implant,2020
Compliance with supportive periodontal/peri-implant therapy: A systematic review,compliance; dental implants; peri-implant maintenance therapy; periodontal maintenance; supportive periodontal therapy,2020
How old is old for implant therapy in terms of early implant losses?,dental implant; early implant loss; elderly population; osseointegration,2019
Impact of supportive implant therapy on peri-implant diseases: A retrospective 7-year study,bone loss; compliance; dental implant; maintenance; peri-implant disease; peri-implant mucositis; peri-implantitis; supportive implant therapy,2020
On modified proximal point algorithms for solving minimization problems and fixed point problems in CAT(kappa) spaces,CAT(1) spaces; minimization problem; nonexpansive mapping; proximal point algorithm; resolvent operator,
Status of periodontal health in German patients suffering from chronic kidney disease-Data from the GCKD study,chronic kidney disease; observational cohort study; periodontitis; risk factors,2020
"Bovine-derived xenograft in combination with autogenous bone chips versus xenograft alone for the augmentation of bony dehiscences around oral implants: A randomized, controlled, split-mouth clinical trial",bone chips; bone graft; DBBM; dental implants; GBR,2020
Cleansing efficacy of waist-shaped inter-dental brushes. A randomized-controlled crossover study,Biofilm(s); inter-dental brushes; interproximal; oral hygiene; periodontal disease(s); periodontitis,2020
"Effect of two new chlorhexidine mouthrinses on the development of dental plaque, gingivitis, discoloration: A randomized, investigator-blind, placebo-controlled, 3-week experimental gingivitis study (vol 33, pg 561, 2006)",,2019
"A double-blind, paralleled-arm, placebo-controlled and randomized clinical trial of the effectiveness of probiotics as an adjunct in periodontal care",adjunct care; Lactobacillus reuteri; non-surgical periodontal therapy; probiotics,2019
Clinical evaluation of injectable platelet-rich fibrin with connective tissue graft for the treatment of deep gingival recession defects: A controlled randomized clinical trial,connective tissue graft; injectable platelet-rich fibrin; root coverage,2020
Activation of cannabinoid receptors promote periodontal cell adhesion and migration,Cannabinoid receptor (CB); cell adhesion; FAK (Focal Adhesion Kinase); migration; wound healing,2019
Periodontal tissue regeneration after low-intensity pulsed ultrasound stimulation with or without intra-marrow perforation in two-wall intra-bony defects-A pilot study in dogs,animal study; bone perforation; intra-bony defect; low-intensity pulsed ultrasound; periodontal regeneration,2020
"Defect morphology, bone thickness, exposure settings and examiner experience affect the diagnostic accuracy of standardized digital periapical radiographic images but not of cone beam computed tomography in the detection of peri-implant osseous defects: An in vitro study",cone beam computed tomography; diagnostic accuracy; periapical radiograph; peri-implant defect; peri-implantitis; diagnosis,2019
"Oral bacteriome of HIV-1-infected children from Rio de Janeiro, Brazil: Next-generation DNA sequencing analysis",Periodontal disease,2019
The importance of supportive periodontal therapy for molars treated with furcation tunnelling,furcation; periodontitis; progression; supportive periodontal therapy; tunnel,2019
Psychometric properties of the Brief Illness Perception Questionnaire (Brief-IPQ) in periodontal diseases,Brief-IPQ; illness perception; periodontal diseases; psychometric properties,2019
Clinical performance of minimally invasive periodontal surgery in the treatment of infrabony defects: Systematic review and meta-analysis,meta-analysis; minimally invasive; periodontal regeneration; periodontal surgery,2019
Accuracy of single molecular biomarkers in gingival crevicular fluid for the diagnosis of periodontitis: A systematic review and meta-analysis,diagnostic accuracy; gingival crevicular fluid; meta-analysis; molecular biomarkers; periodontitis; predictive values; prevalence; sensitivity; specificity; systematic review,2019
Gingiva thickening with a porcine collagen matrix in a preclinical dog model: Histological outcomes,CM; collagen-based matrix; dental implants; gingiva thickening; gingival biotype; histology; immunohistology; mucoderm (R); Porcine collagen matrix; SCTG; soft tissue augmentation; subepithelial connective tissue graft,2019
Empirical or microbiologically guided systemic antimicrobials as adjuncts to non-surgical periodontal therapy? A systematic review,antibiotic; bacteria; periodontitis; personalized medicine,2019
Coronally advanced flap and envelope type of flap plus acellular dermal matrix graft for the treatment of thin phenotype multiple recession defects. A randomized clinical trial,acellular dermal matrix graft; coronally advanced flap; flap design; multiple gingival recessions; patient satisfaction; root coverage aesthetic score,2019
Combined effects of systemic parathyroid hormone (1-34) and locally delivered neutral self-assembling peptide hydrogel in the treatment of periodontal defects: An experimental in vivo investigation,parathyroid hormone; periodontitis; regeneration; self-assembling peptide,2019
Adjunctive effect of modifying the implant-supported prosthesis in the treatment of peri-implant mucositis,dental implant; dental prosthesis; implant-supported; non-surgical treatment; peri-implant mucositis,2019
European survey on criteria of aesthetics for periodontal evaluation: The ESCAPE study,aesthetics; gingival recessions; plastic surgery; score,2019
Long term assessment of root coverage stability using connective tissue graft with or without an epithelial collar for gingival recession treatment. A 12-year follow-up from a randomized clinical trial,follow-up studies; gingival recession; long term care; surgical flaps; tooth root,2019
Inaccuracy of buccal bone thickness estimation on cone-beam CT due to implant blooming: An ex-vivo study,artifacts; cone-beam computed tomography; cortical bone; dental implants; imaging,2019
Ridge preservation in molar extraction sites with an open-healing approach: A randomized controlled clinical trial,bone regeneration; bone substitute; randomized controlled trial; tooth extraction; wound healing,2019
"Cholinergic signalling mechanisms and early implant healing phases in healthy versus generalized aggressive periodontitis patients: A prospective, case-control study",acetylcholine; esterases; implants; periodontitis; SLURP-1,2019
"Biomarkers of oral inflammation in perinatally HIV-infected and perinatally HIV-exposed, uninfected youth",cytokines; oral health; perinatal HIV-infected youth; periodontal inflammation,2019
Three randomized studies of dentine hypersensitivity reduction after short-term SnF2 toothpaste use,clinical study; controls; dentin sensitivity; tin fluoride,2019
Supportive periodontal therapy in moderate-to-severe periodontitis patients: A two-year randomized clinical trial,dental scaling; long-term care; maintenance; oral prophylaxis; periodontitis,2019
Protective roles of FICZ and aryl hydrocarbon receptor axis on alveolar bone loss and inflammation in experimental periodontitis,AhR signalling; FICZ; inflammation; periodontitis,2019
Butyrate rather than LPS subverts gingival epithelial homeostasis by downregulation of intercellular junctions and triggering pyroptosis,butyrate; gingival epithelial barrier; inflammatory response; lipopolysaccharide; pyroptosis,2019
Comparison of periodontitis patients' classification in the 2018 versus 1999 classification,periodontal diagnostic; periodontal therapy; periodontitis; tooth loss; treatment planning,2019
Risk factors for recurrence of periodontal disease in patients in maintenance care in a private practice,maintenance; periodontal treatment; periodontitis; risk factor,2019
Short-term outcomes of staged lateral alveolar ridge augmentation using autogenous tooth roots. A prospective controlled clinical study,alveolar ridge augmentation; clinical study; tooth transplantation,2019
Periodontitis in individuals with liver cirrhosis: A case-control study,cirrhosis; periodontal disease; periodontitis,2019
Microbiome in maintained periodontitis and its shift over a single maintenance interval of 3 months,air polishing; maintenance treatment; microbiology; periodontitis; ultrasonic scaling,2019
"Adjunctive benefit of a xenogenic collagen matrix associated with coronally advanced flap for the treatment of multiple gingival recessions: A superiority, assessor-blind, randomized clinical trial",gingiva; gingival recession; humans; Mucograft; randomized controlled trials; smiling,2019
Longitudinal evaluation of periodontitis and tooth loss among older adults,epidemiology; older adults; periodontitis; public health; tooth loss,2019
A randomized controlled trial to compare aesthetic outcomes of immediately placed implants with and without immediate provisionalization,cone beam computed tomography; dental implants; mucosa recession; implant survival; marginal bone loss,2019
Salivary levels of specialized pro-resolving lipid mediators as indicators of periodontal health/disease status,diagnosis; lipoxin A4; maresin 1; periodontal health status; periodontitis; protectin D1; resolvin E1; saliva,2019
Association between periodontitis and cognitive impairment: Analysis of national health and nutrition examination survey (NHANES) III,cognitive impairment; computerized cognitive tests; dementia; oral health; periodontitis,2019
Long-term metabolic syndrome is associated with periodontal pockets and alveolar bone loss,cohort study; metabolic syndrome; periodontal infection; periodontitis,2019
Periodontitis is associated with elevated serum levels of cardiac biomarkers-Soluble ST2 and C-reactive protein,clinical attachment level; C-reactive protein; oral hygiene; periodontitis; probing depth; soluble ST2,2019
Epigenetic and inflammatory events in experimental periodontitis following systemic microbial challenge,chronic periodontal disease; epigenetics; experimental models of periodontitis; inflammation; systemic disease,2019
Characterization of macrophage polarization in periodontal disease,allergy and immunology; gingivitis; immunohistochemistry; immunologic factors; inflammation; periodontitis,2019
Comprehensive antimicrobial susceptibility testing of a large collection of clinical strains of Aggregatibacter actinomycetemcomitans does not identify resistance to amoxicillin,agar dilution method; antimicrobial resistance; breakpoints; European Committee of Antimicrobial Susceptibility Testing; beta-lactams,2019
Short versus longer implants with osteotome sinus floor elevation for moderately atrophic posterior maxillae: A 1-year randomized clinical trial,implant survival; patient satisfaction; short implants; sinus floor elevation,2019
Immediate versus delayed loading of mandibular implant-retained overdentures: A 60-month follow-up of a randomized clinical trial,dental implant; edentulous mandible; immediate loading; loading; overdenture,2019
Interventions for peri-implantitis and their effects on further bone loss: A retrospective analysis of a registry-based cohort,dental implants; disease progression; peri-implantitis,2019
Success in periodontology: An evolutive concept,periodontitis; prognosis; quality of life; regeneration; tooth loss,2019
Interim tissue changes following connective tissue grafting and two-stage implant placement. A randomized clinical trial,connective tissue graft; crestal bone; mucosa thickness; peri-implant tissue remodelling; two-stage implants,2019
Supra-alveolar attachment gain in the treatment of combined intra-suprabony periodontal defects by non-incised papillae surgical approach,periodontitis; reconstructive surgery; regeneration; surgical flaps,2019
Acellular dermal matrix and coronally advanced flap or tunnel technique in the treatment of multiple adjacent gingival recessions. A 12-year follow-up from a randomized clinical trial,acellular dermis; follow-up study; gingival recession; surgical flaps; tooth root,2019
The accuracy of single-tooth implants placed using fully digital-guided surgery and freehand implant surgery,accuracy of implant position; dental implant; freehand implant surgery; static computer-assisted implant surgery,2019
Periodontal status correlates with anti-citrullinated protein antibodies in first-degree relatives of individuals with rheumatoid arthritis,anti-citrullinated protein antibodies; oral health habits; periodontal disease; rheumatoid arthritis,2019
Predictors for tooth loss in periodontitis patients: Systematic review and meta-analysis,periodontal therapy; periodontitis; prediction; risk model; tooth loss,2019
Long-term impact of powered toothbrush on oral health: 11-year cohort study,caries; gingivitis; oral hygiene; periodontitis; tooth loss; toothbrush,2019
Efficacy of adjunctive anti-plaque chemical agents in managing gingivitis: A systematic review and network meta-analyses,antiseptic; chemical biofilm control; dentifrice; gingival bleeding; gingival index; gingivitis; mouth rinse; network meta-analyses; systematic review,2019
The impact of motivational interviewing on communication of patients undergoing periodontal therapy,motivational interviewing; periodontal therapy; periodontitis; risk factors; sequential analysis,2019
Long-term survival of structurally compromised tooth preserved with crown lengthening procedure and restorative treatment: A pilot retrospective analysis,crown lengthening; periodontics; prognosis; survival rate; tooth preparation,2019
Selective outcome reporting in randomized clinical trials of dental implants,dental implant; randomized clinical trials; selective reporting,2019
The effect of haemostatic agents on early healing of the extraction socket,bone regeneration; collagen; haemostatic agent; oxide cellulose; socket healing; tooth extraction,2019
The effect of immediate implant placement on alveolar ridge preservation compared to spontaneous healing after tooth extraction: Radiographic results of a randomized controlled clinical trial,alveolar ridge preservation; CBCT; immediate implant placement; radiographic changes; tooth extraction,2019
"Staging and grading of periodontitis: Framework and proposal of a new classification and case definition (vol 45, pg S149, 2018)",,2019
Biological factors involved in alveolar bone regeneration Consensus report of Working Group 1 of the 15(th) European Workshop on Periodontology on Bone Regeneration,bone remodelling; bone turnover; osteogenesis; osteoimmunology; regenerative medicine; wound healing,2019
Mesenchymal stem cells and biologic factors leading to bone formation,bone regeneration; growth factors; mesenchymal stem cells,2019
The critical interplay between bone resorbing and bone forming cells,,2019
Osteoimmunology: Inflammatory osteolysis and regeneration of the alveolar bone,osteoimmunology; infammation; bone regeneration; dentistry; periodontitis; mouse model; immunology; augmentation; osseointegration; osteomicrobiology; lymphocytes,2019
Self-regenerative capacity of intra-oral bone defects,intra-oral bone defects; self-regenerative capacity; spontaneous bone healing; spontaneous bone regeneration,2019
Biomaterials and regenerative technologies used in bone regeneration in the craniomaxillofacial region: Consensus report of group 2 of the 15th European Workshop on Periodontology on Bone Regeneration,barrier membrane; bio-absorbable; bioactive agent; biomaterials; bone regeneration; bone replacement graft; cell therapies; guided bone regeneration; osteoconductive; osteoinductive,2019
Bone grafts: which is the ideal biomaterial?,bone graft; bone graft substitute; Bone replacement grafts; deal biomaterial,2019
Barrier membranes: More than the barrier effect?,,2019
The use of bioactive factors to enhance bone regeneration: A narrative review,autologous platelet concentrated; bioactive factors; bone regeneration; dental implants; enamel matrix derivatives; growth factors; ridge augmentation; sinus augmentation; ridge preservation,2019
Cell therapy for orofacial bone regeneration: A systematic review and meta-analysis,bone grafting; bone tissue engineering; cell therapy; mesenchymal stem cells; meta-analysis; systematic review,2019
Management of the extraction socket and timing of implant placement: Consensus report and clinical recommendations of group 3 of the XV European Workshop in Periodontology,alveolar ridge preservation; bone grafting; clinical guidelines; dental implant; evidence-based dentistry; implant performance; implant placement; timing; implant survival; tooth extraction,2019
Effect of alveolar ridge preservation interventions following tooth extraction: A systematic review and meta-analysis,alveolar bone atrophy; alveolar bone grafting; alveolar ridge; bone graft(s); bone remodelling; evidence-based dentistry,2019
The effectiveness of immediate implant placement for single tooth replacement compared to delayed implant placement: A systematic review and meta-analysis,delayed; Dental implant; immediate; single; survival,2019
Effectiveness and clinical performance of early implant placement for the replacement of single teeth in anterior areas: A systematic review,aesthetics; complications; Endosseous implant; guided bone regeneration; patient-reported outcome measures; tooth extraction,2019
Efficacy of lateral bone augmentation performed simultaneously with dental implant placement: A systematic review and meta-analysis,alveolar ridge atrophy; bone regeneration; bone substitutes; dental implant; ridge augmentation,2019
Regeneration of alveolar ridge defects. Consensus report of group 4 of the 15th European Workshop on Periodontology on Bone Regeneration,barrier membrane; biomaterials; bone augmentation; bone regeneration; bone replacement graft; complications; adverse events; consensus statement; dental implants; elevation; guided bone regeneration; peri-implantitis; ridge augmentation; sinus floor,2019
Efficacy of lateral bone augmentation prior to implant placement: A systematic review and meta-analysis,dental implant; implant placement; lateral bone augmentation; primary bone augmentation; ridge width; systematic review,2019
Long-term effectiveness of maxillary sinus floor augmentation: A systematic review and meta-analysis,biological complications; bone augmentation; dental implants; lateral approach; maxillary sinus floor elevation; meta-analysis; sinus lift; systematic review,2019
Effectiveness of vertical ridge augmentation interventions: A systematic review and meta-analysis,dental implants; guided bone regeneration; systematic review; vertical bone augmentation,2019
Efficacy of reconstructive surgical therapy at peri-implantitis-related bone defects. A systematic review and meta-analysis,bone regeneration; dental implant; peri-implantitis; reconstructive therapy,2019
Oxidative stress-related biomarkers in saliva and gingival crevicular fluid associated with chronic periodontitis: A systematic review and meta-analysis,biomarker; chronic periodontitis; gingival crevicular fluid; oxidative stress; saliva,2019
Interaction between beta-3 adrenergic receptor genotype and environmental factors on periodontal progression,beta-3 adrenergic receptor genotype; epidemiology; obesity; periodontal disease; smoking habits,2019
Periodontitis as the risk factor of chronic kidney disease: Mediation analysis,chronic kidney disease; diabetes; mediation analysis; periodontitis,2019
HIV status does not worsen oral health outcomes,gingivitis; periodontal disease; periodontitis,2019
Dental treatment procedures for periodontal disease and the subsequent risk of ischaemic stroke: A retrospective population-based cohort study,dental scaling; gingivitis; ischaemic stroke; periodontitis,2019
Five-year stability of clinical attachment after regenerative treatment of infrabony defects compared to controls,guided tissue regeneration; operative; periodontal attachment loss; periodontitis; surgical procedures,2019
The furcation tunnel preparation-A prospective 5-year follow-up study,furcation tunnel; maintenance; periodontitis; risk indicators; tooth loss,2019
Peri-implant crevicular fluid proteome before and after adjunctive enamel matrix derivative treatment of peri-implantitis,enamel matrix derivative; implant; peri-implantitis; proteome,2019
Peri-implant marginal bone loss reduction with platform-switching components: 5-Year post-loading results of an equivalence randomized clinical trial,bone level; crestal bone preservation; implant; implant success; platform match; platform switching; randomized clinical trial; standardized radiograph,2019
Secreted frizzled-related protein 5 serum levels in human periodontitis-A nested case-control study,biomarkers; inflammation; metabolism; periodontitis; pharmacological; sFRP5; wnt5a,2019
Association of non-surgical periodontal therapy on patients' oral health-related quality of life-A multi-centre cohort study,air-powder devices; antibiotics; non-surgical periodontal therapy; OHIP; quality of life,2019
Efficacy of Er:YAG laser on periodontitis as an adjunctive non-surgical treatment: A split-mouth randomized controlled study,Er; YAG laser; non-surgical therapy; periodontitis; randomized controlled trial; scaling and root planing,2019
Oral hygiene phase revisited: How different study designs have affected results in intervention studies,mechanical therapy; periodontal therapy; periodontitis; RCT,2019
Infrabony defects 20 years after open flap debridement and guided tissue regeneration,guided tissue regeneration; inter-proximal infrabony defects; long-term results; open flap debridement; periodontitis; randomized controlled clinical trial,2019
Aesthetic assessment after root coverage of multiple adjacent recessions with coronally advanced flap with adjunctive collagen matrix or connective tissue graft: Randomized clinical trial,collagen matrix; connective tissue graft; coronally advanced flap; randomized controlled clinical trial; root coverage; smile aesthetics,2019
Long-term stability of root coverage procedures for single gingival recessions: A systematic review and meta-analysis,gingival recession; meta-analysis; periodontal surgery; review; root coverage,2019
The adjunctive effect of a titanium brush in implant surface decontamination at peri-implantitis surgical regenerative interventions: A randomized controlled clinical trial,bone regeneration; decontamination; peri-implantitis; surgical regenerative therapy; titanium brush,2019
Prevalence and risk indicators of peri-implantitis in a sample of university-based dental patients in Italy: A cross-sectional study,peri-implant diseases; peri-implant mucositis; peri-implantitis; prevalence; risk indicators,2019
Implementation of the new classification of periodontal diseases: Decision-making algorithms for clinical practice and education,case definition; diagnosis; gingivitis; periodontal diseases; periodontal health; periodontitis; periodontitis grading; periodontitis staging,2019
"Periodontal health: A national cross-sectional study of knowledge, attitudes and practices for the public oral health strategy in China",attitude; Chinese; knowledge; Periodontal health; practice; prevention; risk factor,2019
Development and validation of a predictive model for periodontitis using NHANES 2011-2012 data,diabetes; endocrinology; glycated haemoglobin; HbA1c; periodontitis; predictive modelling,2019
Association between central obesity and tooth loss in the non-obese people: Results from the continuous National Health and Nutrition Examination Survey (NHANES) 1999-2012,body mass index; central obesity; dental health survey; obesity; periodontal disease; tooth loss,2019
Traumatic occlusion aggravates bone loss during periodontitis and activates Hippo-YAP pathway,bone destruction; Hippo pathway; occlusal trauma; periodontitis; YAP; TAZ,2019
Prevalence and predictive factors of dentin hypersensitivity in Brazilian adolescents,aetiology; associated factors; dentin sensitivity; dentistry; epidemiology; risk factors,2019
Antineoplastic agents exacerbate periodontal inflammation and aggravate experimental periodontitis,alveolar bone loss; antineoplastic agents; cisplatin; fluorouracil; periodontal disease; periodontium,2019
Decreased salivary concentration of CD9 and CD81 exosome-related tetraspanins may be associated with the periodontal clinical status,CD81; CD9; diagnostics; exosomes; periodontal health status; periodontitis; saliva; tetraspanins,2019
The influence of an anti-inflammatory diet on gingivitis. A randomized controlled trial,carbohydrates; host modulation; micronutrients; nutrition; omega-3 fatty acids; periodontal disease,2019
Clinical benefits of systemic amoxicillin/metronidazole may depend on periodontitis severity and patients' age: An exploratory sub-analysis of the ABPARO trial,amoxicillin; metronidazole; attachment loss; clinical threshold; periodontitis; systemic antimicrobials,2019
Influence of autoclavation on the efficacy of extracted tooth roots used for vertical alveolar ridge augmentation,alveolar ridge augmentation; animal experiment; histological technique; tooth transplantation,2019
Industry sponsorship bias in clinical trials in implant dentistry: Systematic review and meta-regression,clinical studies; trials; dental implants; evidence-based dentistry; industry,2019
Chronic periodontitis and reduced respiratory function,chronic obstructive pulmonary disease; inflammation; periodontitis; respiratory function,2019
The guardians of the periodontium-sequential and differential expression of antimicrobial peptides during gingival inflammation. Results from in vivo and in vitro studies,antimicrobial peptides; calgranulin A; calgranulin B; human beta-defensin-2; psoriasin,2019
Inhibition of Ctsk alleviates periodontitis and comorbid rheumatoid arthritis via downregulation of the TLR9 signalling pathway,arthritis; bone resorption; cathepsin K; experimental; inflammation; periodontitis; toll-Like receptor 9,2019
Effect of mHealth in improving oral hygiene: A systematic review with meta-analysis,behaviour change; mHealth; mobile app; oral condition; text messages,2019
Interdental cleaning and periodontal pocketing among finnish adults,adults; cohort studies; dental devices; home care; oral hygiene; periodontal diseases; periodontitis,2019
Randomized controlled trial of the effect of periodontal treatment on cardiovascular risk biomarkers in patients with stable coronary artery disease: Preliminary findings of 3 months,cardiovascular disease; C-reactive protein; cytokines; periodontal disease,2019
Treatment of intrabony periodontal defects using rhFGF-2 in combination with deproteinized bovine bone mineral or rhFGF-2 alone: A 6-month randomized controlled trial,bone graft; deproteinized bovine bone mineral; FGF-2; patient-reported outcome; periodontal regeneration; periodontitis,2019
Clinical effects of the adjunctive use of a 0.03% chlorhexidine and 0.05% cetylpyridinium chloride mouth rinse in the management of peri-implant diseases: A randomized clinical trial,chlorhexidine; dental implant; mouth rinse; peri-implant diseases; peri-implant mucositis,2019
The amount of keratinized mucosa may not influence peri-implant health in compliant patients: A retrospective 5-year analysis,dental implant; keratinized mucosa; peri-implant diseases,2019
A retrospective analysis of dental implant survival in HIV patients,cohort study; HIV; implant; survival,2019
Comparison between two bone substitutes for alveolar ridge preservation after tooth extraction: Cone-beam computed tomography results of a non-inferiority randomized controlled trial,bone regeneration; bone substitute; cone-beam computed tomography; ridge preservation; tooth extraction,2019
Antibiotic prophylaxis at dental implant placement: Which is the best protocol? A systematic review and network meta-analysis,adverse events; antibiotic prophylaxis; early failures; early implant failures; implant placement; implant survival; network meta-analysis; penicillins; side effects; systematic review,2019
New insights in the link between malocclusion and periodontal disease,chronic periodontitis; dental occlusion; epidemiology; multilevel analysis; risk factor,2019
Biologic modelling of periodontal disease progression,biomarkers; oral bacteria; periodontitis; saliva,2019
Relationship of periodontal disease and domains of oral health-related quality of life,Adult Dental Health Survey; oral health-related quality of life; periodontal pockets,2019
Salivary S100 proteins screen periodontitis among Korean adults,marker; periodontitis; saliva,2019
Association between periodontal disease and preterm prelabour rupture of membranes,clinical attachment loss; gingival index; periodontitis; plaque index; preterm birth; probing pocket depth,2019
Immunization with cell-free-generated vaccine protects from Porphyromonas gingivalis-induced alveolar bone loss,cell-free protein synthesis; gingipain; immunization; minor fimbriae; oral bone loss; Porphyromonas gingivalis,2019
Impact of diabetes on clinical periodontal outcomes following non-surgical periodontal therapy,blood glucose; diabetes; meta-analysis; periodontitis; root planing,2019
Time between recall visits and residual probing depths predict long-term stability in patients enrolled in supportive periodontal therapy,recall interval; residual probing depths; supportive periodontal therapy,2019
Enamel matrix derivative stabilizes blood clot and improves clinical healing in deep pockets after flapless periodontal therapy: A Randomized Clinical Trial,C-reactive protein; enamel matrix derivative; periodontitis,2019
Incorporating antibiotics into platelet-rich fibrin: A novel antibiotics slow-release biological device,,2019
The depth of the implant mucosal tunnel modifies the development and resolution of experimental peri-implant mucositis: A case-control study,case-control study; dental implant; experimental gingivitis; mucositis prevention; peri-implant mucositis; peri-implantitis prevention; transmucosal implant,2019
Effect of socket-shield technique on alveolar ridge soft and hard tissue in dogs,Bio-Oss Collagen; buccal aspect of alveolar ridge contour; buccal bone plate; ridge preservation; socket-shield technique,2019
